Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
god name generator,Informational,3600,"0.66,0.53,0.66,1.00,0.66,0.66,0.66,0.81,0.81,0.53,0.81,0.81",18,0.00,0.00,"Reviews, Video, People also ask, Related searches",153000000
halfling name generator,Informational,3600,"0.82,0.55,0.65,0.65,0.65,0.82,0.82,1.00,0.82,0.82,0.65,0.82",10,0.00,0.00,Related searches,93
island name generator,Informational,3600,"0.82,0.82,0.65,1.00,0.65,0.65,0.82,1.00,0.65,0.65,0.82,0.82",11,0.00,0.00,"Sitelinks, Video, Related searches",131000000
last name generator fantasy,Informational,3600,"0.81,0.81,0.65,0.81,0.65,1.00,0.43,0.65,0.65,0.65,0.81,1.00",21,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",99
mage name generator,Commercial,3600,"1.00,1.00,0.65,1.00,0.81,1.00,0.81,0.65,0.65,0.65,0.65,0.65",10,0.00,0.00,Related searches,86
medieval name generator,Informational,3600,"0.81,0.54,0.65,0.65,0.81,0.81,0.54,0.81,1.00,0.81,1.00,0.65",15,0.00,0.00,"Sitelinks, Reviews, People also ask, Related searches",99
my little pony name generator,Informational,3600,"1.00,0.81,0.54,0.36,0.66,0.43,0.43,0.19,0.54,0.36,0.54,0.43",8,0.00,0.00,"Sitelinks, Reviews, Image, Image pack, Video, Related searches",2850000
norse name generator,Informational,3600,"0.53,0.66,0.53,0.66,0.44,0.66,0.44,0.53,0.81,1.00,0.81,0.81",18,1.66,0.01,"Sitelinks, Related searches",6570000
roblox name generator,Commercial,3600,"0.35,0.53,0.44,0.53,0.81,1.00,1.00,0.66,0.44,0.53,0.81,0.81",16,0.00,0.00,"Reviews, Image, Video, Video carousel, Related searches",40300000
stage name generator,Commercial,3600,"0.81,0.81,0.81,0.81,1.00,1.00,0.81,0.65,0.65,0.65,0.65,0.65",16,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, Related searches",174000000
stripper name generator,"Informational, Commercial",3600,"0.44,0.35,0.44,0.35,0.44,0.53,1.00,1.00,0.81,0.66,0.53,0.53",11,0.00,0.00,Reviews,89
tiefling name generator,Informational,3600,"1.00,0.80,0.80,1.00,0.70,0.50,0.80,0.70,0.80,0.70,0.50,0.70",15,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, Related searches",93
wu tang clan name generator,Informational,3600,"1.00,0.67,0.54,0.42,0.79,0.67,0.54,0.54,0.33,0.29,0.67,0.54",14,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, Related searches",120000
album name generator,Commercial,2900,"0.80,0.66,1.00,1.00,0.80,0.80,0.80,0.80,1.00,0.80,0.80,1.00",20,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",84400000
cat name generator,Informational,2900,"0.67,0.80,0.80,0.80,0.80,0.80,1.00,0.80,1.00,0.80,0.80,0.80",28,0.09,0.00,"Sitelinks, Reviews, Related searches",217000000
clan name generator,Informational,2900,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.84,1.00,1.00",22,0.00,0.00,"Sitelinks, Reviews, Related searches",60600000
couple name generator,Commercial,2900,"1.00,0.80,0.80,1.00,0.80,0.80,0.67,0.80,0.80,0.67,0.67,0.53",29,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",191000000
fairy name generator,Informational,2900,"1.00,0.80,1.00,0.80,0.80,1.00,0.66,0.80,0.80,0.66,0.80,0.80",13,0.00,0.00,"Reviews, People also ask, Related searches",22000000
fantasy football team names generator,Informational,2900,"0.00,0.00,0.00,0.01,0.01,0.13,1.00,0.66,0.05,0.03,0.02,0.01",26,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, Discussions and forums, Related searches",1620000
fantasy team name generator,Informational,2900,"0.00,0.05,0.02,0.07,0.05,0.09,1.00,1.00,0.09,0.07,0.05,0.02",22,0.00,0.00,"Sitelinks, Reviews, Related searches",94
gnome name generator,Informational,2900,"0.35,0.44,0.44,0.53,0.44,0.44,0.44,0.53,0.44,0.53,0.44,1.00",8,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches, People also search",3130000
greek name generator,Informational,2900,"0.83,1.00,0.83,0.83,0.83,1.00,1.00,1.00,0.83,1.00,1.00,1.00",17,0.00,0.00,"Sitelinks, Reviews, People also ask, Related searches",99600000
half elf name generator,Informational,2900,"1.00,0.66,0.66,0.66,0.66,0.80,0.80,1.00,0.80,0.66,0.52,0.80",16,0.00,0.00,"Sitelinks, Reviews, Related searches",1980000
horse name generator,Commercial,2900,"0.67,0.67,0.80,1.00,0.80,0.80,0.80,0.67,0.80,0.53,0.67,0.67",14,0.00,0.00,"Reviews, Image, Related searches",61600000
pirate name generator,Informational,2900,"0.67,0.67,0.81,0.81,0.81,0.81,0.81,1.00,0.67,0.53,0.53,0.67",19,0.00,0.00,"Reviews, Image, Image pack, Video, Related searches",14000000
saiyan name generator,Informational,2900,"0.36,0.54,0.54,0.54,0.65,0.54,0.36,0.65,1.00,1.00,0.65,0.54",8,0.00,0.00,"Sitelinks, Reviews, Image, Video, Related searches",83
wood elf name generator,Informational,2900,"1.00,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.67,0.67,0.67,0.80",22,0.00,0.00,"Sitelinks, Reviews, Related searches",1330000
artist name generator,Informational,2400,"0.83,0.83,0.83,1.00,1.00,0.83,0.83,0.83,0.83,0.83,0.83,0.83",17,1.30,0.01,"Sitelinks, Reviews, Image, Video, Related searches",193000000
asian name generator,Commercial,2400,"0.83,1.00,0.83,0.83,0.66,0.83,1.00,1.00,0.55,0.55,0.55,1.00",17,0.00,0.00,"Reviews, Image pack, Video, Related searches",37600000
boat name generator,Informational,2400,"0.53,0.67,0.80,1.00,1.00,1.00,0.67,0.53,0.44,0.36,0.36,0.36",16,0.28,0.02,"Sitelinks, Reviews, Video, Related searches",57800000
clothing brand name generator,"Informational, Commercial",2400,"1.00,1.00,1.00,0.82,0.82,0.65,0.65,1.00,1.00,0.65,0.65,0.82",28,0.46,0.45,"Sitelinks, Reviews, Video, People also ask, Related searches, Ads top, Ads bottom",66400000
dj name generator,Informational,2400,"0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.65,0.65,0.65",19,0.12,0.02,"Sitelinks, Reviews, Video carousel, Related searches",54200000
dnd character name generator,Informational,2400,"0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.80,0.67,0.67,0.67,1.00",23,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, Related searches",6260000
doman name generator ffxiv,Informational,2400,"1.00,0.00",25,0.00,0.00,"Sitelinks, Reviews, Image, Image pack, People also ask, Related searches",35
drag name generator,Commercial,2400,"0.80,0.80,0.67,0.80,1.00,0.80,0.67,0.67,0.52,0.35,0.44,0.52",15,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, Related searches",104000000
elden ring name generator,Informational,2400,"0.23,0.28,0.23,0.23,1.00,1.00,0.36,0.20,0.10,0.12,0.20,0.20",4,0.00,0.00,"Sitelinks, Reviews, Image, Video, Related searches",84
fae name generator,Commercial,2400,"1.00,0.55,0.83,0.83,0.83,0.65,0.83,0.55,0.83,0.83,0.83,0.83",10,0.00,0.00,"Reviews, Related searches, People also search",1150000
goblin name generator,Navigational,2400,"0.65,0.65,0.82,0.82,0.82,0.82,0.82,1.00,1.00,0.65,0.65,0.65",19,0.00,0.00,"Sitelinks, Related searches",2470000
human name generator,Informational,2400,"0.83,1.00,0.66,0.83,0.83,0.83,0.83,0.83,1.00,1.00,0.83,0.66",25,0.00,0.00,"Reviews, Image pack, Video, Related searches",557000000
korean name generator,Commercial,2400,"0.67,0.80,0.67,0.52,0.67,0.80,0.52,0.52,0.67,0.52,0.80,1.00",20,0.00,0.00,"Reviews, People also ask, Related searches",130000000
name generator my little pony,Informational,2400,"1.00,0.81,0.66,0.66,0.66,0.24,0.36,0.07,0.10,0.05,0.24,0.00",11,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",733000
oc name generator,Informational,2400,"0.44,0.52,0.44,0.52,0.80,0.80,0.80,0.66,0.52,0.52,0.66,1.00",27,0.00,0.00,"Sitelinks, Video, Related searches",97
silly name generator,Commercial,2400,"0.35,0.44,0.81,0.24,0.18,0.29,0.29,0.24,0.24,0.35,1.00,0.44",17,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",94400000
skyrim name generator,Informational,2400,"0.66,0.66,0.66,0.66,0.83,0.66,0.66,0.83,0.66,0.83,1.00,1.00",10,0.00,0.00,"Sitelinks, Reviews, Image, Image pack, Video, Related searches",91
sorcerer name generator,Commercial,2400,"0.43,0.54,0.29,0.36,0.65,0.22,0.36,0.36,0.43,0.54,1.00,0.81",8,0.00,0.00,"Reviews, Related searches",91
twitch name generator,Informational,2400,"0.66,1.00,0.66,0.55,0.66,0.83,1.00,0.55,1.00,0.55,0.83,0.83",19,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",21600000
vampire name generator,Informational,2400,"0.66,0.83,0.66,0.83,0.66,0.66,0.83,0.83,0.83,1.00,0.55,0.83",10,0.00,0.00,"Reviews, Related searches",6900000
alien name generator,Informational,1900,"0.55,0.80,0.80,0.80,0.80,0.66,1.00,0.80,0.80,1.00,1.00,0.80",14,0.00,0.00,"Sitelinks, Reviews, Related searches",27600000
angel name generator,Commercial,1900,"1.00,0.65,0.65,0.55,0.55,0.65,0.65,0.82,0.55,0.55,0.65,0.55",12,0.00,0.00,"Reviews, Related searches",62100000
behind the name generator,Navigational,1900,"0.67,1.00,0.79,1.00,0.79,0.79,0.79,0.67,0.79,0.79,0.79,1.00",19,0.00,0.00,"Sitelinks, Related searches",359000000
college name generator,Commercial,1900,"0.09,0.06,0.09,0.09,0.06,0.28,0.10,0.43,0.36,0.36,1.00,0.36",8,0.00,0.00,"Reviews, Related searches",358000000
cowboy name generator,Informational,1900,"0.65,0.82,1.00,0.82,0.65,0.82,0.65,0.44,0.44,0.65,0.55,0.55",7,0.00,0.00,"Image, Image pack, Video, Related searches",10600000
dark elf name generator,Informational,1900,"0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,1.00,0.79,0.79",26,0.00,0.00,"Sitelinks, Reviews, People also ask, Related searches",3750000
dnd human name generator,Informational,1900,"1.00,0.85,1.00,0.85,1.00,1.00,0.85,1.00,1.00,1.00,0.85,1.00",23,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",95
dragon names generator,Informational,1900,"0.66,0.52,0.66,0.36,0.52,1.00,0.43,0.36,0.43,0.52,0.43,0.36",14,0.05,0.00,"Sitelinks, Reviews, Image, People also ask, Discussions and forums, Related searches",55300000
dwarf name generator,Informational,1900,"0.25,1.00,1.00,0.88,0.50,0.88,0.00,0.00,0.13,0.38,0.25,0.63",16,0.00,0.00,"Sitelinks, Reviews, Image pack, People also ask, Related searches",4060000
fantasy country name generator,Informational,1900,"1.00,1.00,1.00,0.79,1.00,0.67,1.00,0.79,0.79,0.79,0.67,0.79",12,0.00,0.00,"Sitelinks, Reviews, People also ask, Related searches",12400000
fantasy human name generator,Informational,1900,"0.67,1.00,0.79,0.67,0.79,0.67,0.79,0.67,0.79,0.67,0.67,0.67",26,0.00,0.00,"Reviews, Image pack, Video, Related searches",24300000
fantasy kingdom name generator,Informational,1900,"0.65,0.55,0.82,0.65,0.55,0.82,0.65,0.65,0.65,0.65,0.65,1.00",9,0.00,0.00,"Sitelinks, Reviews, Related searches",6550000
fortnite name generator,Commercial,1900,"0.83,0.83,0.55,0.55,0.55,0.45,0.55,0.45,0.45,0.83,1.00,0.83",13,0.00,0.00,"Sitelinks, Reviews, Image, Video, Related searches",20500000
french name generator,Informational,1900,"0.80,1.00,1.00,1.00,1.00,1.00,0.80,0.80,0.80,0.80,0.67,1.00",20,0.00,0.00,"Reviews, Related searches",268000000
game of thrones name generator,Informational,1900,"0.29,0.43,0.29,0.29,0.65,1.00,0.65,0.43,0.36,0.36,0.36,0.29",16,0.00,0.00,"Sitelinks, Reviews, Image pack, Video, Related searches",3080000
gang name generator,Commercial,1900,"0.67,0.79,1.00,1.00,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79",10,0.00,0.00,"Reviews, Related searches",27500000
generator name rap,Commercial,1900,"0.03,0.08,0.53,0.42,0.28,0.42,1.00,0.42,0.81,0.14,0.28,0.06",6,0.00,0.00,"Sitelinks, Reviews, Video, Related searches",3080000
guild name generator,Informational,1900,"0.53,0.44,0.53,0.53,0.53,0.53,0.36,0.53,1.00,0.44,0.53,0.53",8,0.00,0.00,"Sitelinks, Reviews, Related searches",40300000
